type,content,links
li,,https://itb.ac.id/lang/id
li,,https://itb.ac.id/lang/en
li,Staf,https://itb.ac.id/staf
li,Mahasiswa,https://itb.ac.id/mahasiswa
li,Alumni,https://itb.ac.id/alumni
li,Mitra,https://itb.ac.id/mitra
li,Pengunjung,https://itb.ac.id/pengunjung
li,Pers,https://itb.ac.id/pers
li,My ITB,/myitb
li,Admission,https://admission.itb.ac.id/info/
li,Kontak,https://itb.ac.id/kontak
li,Cari,https://itb.ac.id/search
h1,,
li,Tentang ITB,https://itb.ac.id/tentang-itb
li,Penerimaan,https://itb.ac.id/penerimaan
li,Pendidikan,https://itb.ac.id/pendidikan
li,Penelitian,https://itb.ac.id/penelitian
li,Pengabdian,https://itb.ac.id/pengabdian
li,Penghargaan,https://itb.ac.id/penghargaan
li,Multikampus,https://itb.ac.id/multikampus
li,,javascript:void()
li,PersonalStafMahasiswaMitraAlumniPengunjungPers,https://itb.ac.id/staf https://itb.ac.id/mahasiswa https://itb.ac.id/mitra https://itb.ac.id/alumni https://itb.ac.id/pengunjung https://itb.ac.id/pers
h4,Personal,
li,Staf,https://itb.ac.id/staf
li,Mahasiswa,https://itb.ac.id/mahasiswa
li,Mitra,https://itb.ac.id/mitra
li,Alumni,https://itb.ac.id/alumni
li,Pengunjung,https://itb.ac.id/pengunjung
li,Pers,https://itb.ac.id/pers
li,Tentang ITBSejarahVisi dan MisiTugas dan FungsiPimpinanLandasan HukumStruktur OrganisasiMajelis Wali AmanatSenat AkademikMultikampusKunjungan,https://itb.ac.id/tentang-itb https://itb.ac.id/sejarah https://itb.ac.id/visi-dan-misi https://itb.ac.id/tugas-dan-fungsi https://itb.ac.id/pimpinan https://itb.ac.id/landasan-hukum https://itb.ac.id/struktur-organisasi https://itb.ac.id/majelis-wali-amanat https://itb.ac.id/senat-akademik https://itb.ac.id/multikampus https://itb.ac.id/kunjungan
h4,Tentang ITB,https://itb.ac.id/tentang-itb
li,Sejarah,https://itb.ac.id/sejarah
li,Visi dan Misi,https://itb.ac.id/visi-dan-misi
li,Tugas dan Fungsi,https://itb.ac.id/tugas-dan-fungsi
li,Pimpinan,https://itb.ac.id/pimpinan
li,Landasan Hukum,https://itb.ac.id/landasan-hukum
li,Struktur Organisasi,https://itb.ac.id/struktur-organisasi
li,Majelis Wali Amanat,https://itb.ac.id/majelis-wali-amanat
li,Senat Akademik,https://itb.ac.id/senat-akademik
li,Multikampus,https://itb.ac.id/multikampus
li,Kunjungan,https://itb.ac.id/kunjungan
li,PenerimaanSarjanaPascasarjanaProfesiPertukaran MahasiswaKelas Internasional,https://itb.ac.id/penerimaan https://itb.ac.id/sarjana https://itb.ac.id/pascasarjana https://itb.ac.id/profesi https://itb.ac.id/pertukaran-mahasiswa https://itb.ac.id/kelas-internasional
h4,Penerimaan,https://itb.ac.id/penerimaan
li,Sarjana,https://itb.ac.id/sarjana
li,Pascasarjana,https://itb.ac.id/pascasarjana
li,Profesi,https://itb.ac.id/profesi
li,Pertukaran Mahasiswa,https://itb.ac.id/pertukaran-mahasiswa
li,Kelas Internasional,https://itb.ac.id/kelas-internasional
li,PendidikanFakultas dan SekolahProgram StudiKelompok Keahlian/KeilmuanBeasiswaStaf,https://itb.ac.id/pendidikan https://itb.ac.id/fakultas-dan-sekolah https://itb.ac.id/program-studi https://itb.ac.id/kelompok-keahliankeilmuan https://itb.ac.id/beasiswa /staff/
h4,Pendidikan,https://itb.ac.id/pendidikan
li,Fakultas dan Sekolah,https://itb.ac.id/fakultas-dan-sekolah
li,Program Studi,https://itb.ac.id/program-studi
li,Kelompok Keahlian/Keilmuan,https://itb.ac.id/kelompok-keahliankeilmuan
li,Beasiswa,https://itb.ac.id/beasiswa
li,Staf,/staff/
li,KampusAktivitas MahasiswaJelajah,kehidupan-kampus https://itb.ac.id/aktivitas-mahasiswa https://itb.ac.id/jelajah
h4,Kampus,kehidupan-kampus
li,Aktivitas Mahasiswa,https://itb.ac.id/aktivitas-mahasiswa
li,Jelajah,https://itb.ac.id/jelajah
li,AlumniProgramProfilDonasi,/alumni https://itb.ac.id/program-alumni https://itb.ac.id/profil-alumni https://itb.ac.id/donasi
h4,Alumni,/alumni
li,Program,https://itb.ac.id/program-alumni
li,Profil,https://itb.ac.id/profil-alumni
li,Donasi,https://itb.ac.id/donasi
li,,http://twitter.com/home?status=https://itb.ac.id/multikampus
li,,https://www.facebook.com/sharer/sharer.php?u=https://itb.ac.id/multikampus
li,,http://www.linkedin.com/shareArticle?mini=true&url=https://itb.ac.id/multikampus&title=&summary=
li,,http://www.stumbleupon.com/submit?url=https://itb.ac.id/multikampus
li,,https://wa.me/?text=https://itb.ac.id/multikampus
li,Beranda,https://itb.ac.id
li,Tentang ITB,https://itb.ac.id/tentang-itb
li,,
h2,Multikampus,
p,"Institut Teknologi Bandung (ITB) sebagai Perguruan Tinggi Negeri Berbadan Hukum (PTN-BH) Indonesia, berkomitmen untuk aktif mengembangkan ilmu pengetahuan, teknologi, dan seni. ITB menetapkan Rencana Induk Pengembangan (RENIP) 2006-2025 sebagai landasan pengembangan institusi jangka panjang. Dokumen RENIP kemudian diturunkan ke dalam rencana lima tahunan yang disebut Rencana Strategis (RENSTRA) ITB",
p,"Kebijakan pengembangan institusi merupakan bagian dari Strategi Jangka Panjang ITB untuk mencapai visi sesuai RENIP. Kebijakan pengembangan tersebut, juga merupakan elemen dari misi untuk mewujudkan ITB sebagai lembaga penelitian teknologi dan institusi pendidikan terkemuka di Indonesia, dan di kawasan Asia Pasifik, menuju ITBWorld Class University(WCU). Tujuan utama pengembangan multikampus adalah meningkatkan peran ITB dalam membangun riset yang unggul di masa depan, berkontribusi dalam mengembangkan sumber daya manusia yang berkualitas (teknologi) dengan skala regional maupun nasional.",
p,"Selaras dengan hal tersebut, ITB merencanakan pengembangan untuk beberapa kampus, yaitu ITB Kampus Ganesha, ITB Kampus Jatinangor, dan ITB Kampus Cirebon, yang sampai dengan saat ini masih terus berjalan.",
p,,
h4,ITB Kampus Ganesha,
p,,
p,"Kampus Ganesha merupakan kampus utama Institut Teknologi Bandung. Berlokasi di Jl. Ganesa No. 10, Bandung, Jawa Barat, Indonesia dengan luas sekitar 28 hektar, kampus ini terus mengalami perluasan dan penambahan fasilitas.. Kampus ITB Ganesha didirikan pada tahun 1920 dengan nama Technische Hoogeschool. Di sekitar Kampus ITB Ganesha, terdapat fasilitas penunjang perkuliahan seperti aula, sarana olah raga berupa running track, lapangan sepak bola, kolam renang, layanan kesehatan, masjid, serta asrama mahasiswa.",
p,Selengkapnya,kampus-ganesha/
h4,ITB Kampus Jatinangor,
p,,
