type,content,links
li,Halaman Utama,/wiki/Halaman_Utama
li,Daftar isi,/wiki/Wikipedia:Isi
li,Perubahan terbaru,/wiki/Istimewa:Perubahan_terbaru
li,Artikel pilihan,/wiki/Wikipedia:Artikel_pilihan/Topik
li,Peristiwa terkini,/wiki/Portal:Peristiwa_terkini
li,Halaman baru,/wiki/Istimewa:Halaman_baru
li,Halaman sembarang,/wiki/Istimewa:Halaman_sembarang
li,Halaman istimewa,/wiki/Istimewa:Halaman_istimewa
li,Warung Kopi,/wiki/Wikipedia:Warung_Kopi
li,Portal komunitas,/wiki/Portal:Komunitas
li,Bantuan,/wiki/Bantuan:Isi
li,Tentang Wikipedia,/wiki/Wikipedia:Perihal
li,Pancapilar,/wiki/Wikipedia:Pancapilar
li,Kebijakan,/wiki/Wikipedia:Kebijakan_dan_pedoman
li,Hubungi kami,/wiki/Wikipedia:Hubungi_kami
li,Bak pasir,/wiki/Wikipedia:Bak_pasir
li,Menyumbang,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=id.wikipedia.org&uselang=id
li,Buat akun baru,/w/index.php?title=Istimewa:Buat_akun&returnto=Institut+Teknologi+Bandung
li,Masuk log,/w/index.php?title=Istimewa:Masuk_log&returnto=Institut+Teknologi+Bandung
li,Menyumbang,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=id.wikipedia.org&uselang=id
li,Buat akun baru,/w/index.php?title=Istimewa:Buat_akun&returnto=Institut+Teknologi+Bandung
li,Masuk log,/w/index.php?title=Istimewa:Masuk_log&returnto=Institut+Teknologi+Bandung
li,Kontribusi,/wiki/Istimewa:Kontribusi_saya
li,Pembicaraan,/wiki/Istimewa:Pembicaraan_saya
h2,Daftar isi,
li,Awal,#
li,"1SejarahGulingkan subbagian Sejarah1.1Technische Hoogeschool te Bandoeng(1920–1942)1.2Institute of Tropical Scientific Research(1942–1945)1.3Bandoeng Koogyo Daigaku(1944–1945)1.4Sekolah Tinggi Teknik Bandung (1945–1946)1.5Technische Faculteit, Nood-Universiteit van Nederlandsch Indie(1946–1947)1.6Faculteit van Technische WetenschapdanFaculteit der Exacte Wetenschap Universiteit van Indonesie te Bandoeng(1947–1950)1.7Fakultas Teknik dan Fakultas Ilmu Pasti dan Ilmu Alam Universitas Indonesia Bandung (1950–1959)1.8Institut Teknologi Bandung (1959–sekarang)","#Sejarah #Technische_Hoogeschool_te_Bandoeng_(1920–1942) #Institute_of_Tropical_Scientific_Research_(1942–1945) #Bandoeng_Koogyo_Daigaku_(1944–1945) #Sekolah_Tinggi_Teknik_Bandung_(1945–1946) #Technische_Faculteit,_Nood-Universiteit_van_Nederlandsch_Indie_(1946–1947) #Faculteit_van_Technische_Wetenschap_dan_Faculteit_der_Exacte_Wetenschap_Universiteit_van_Indonesie_te_Bandoeng_(1947–1950) #Fakultas_Teknik_dan_Fakultas_Ilmu_Pasti_dan_Ilmu_Alam_Universitas_Indonesia_Bandung_(1950–1959) #Institut_Teknologi_Bandung_(1959–sekarang)"
li,1.1Technische Hoogeschool te Bandoeng(1920–1942),#Technische_Hoogeschool_te_Bandoeng_(1920–1942)
li,1.2Institute of Tropical Scientific Research(1942–1945),#Institute_of_Tropical_Scientific_Research_(1942–1945)
li,1.3Bandoeng Koogyo Daigaku(1944–1945),#Bandoeng_Koogyo_Daigaku_(1944–1945)
li,1.4Sekolah Tinggi Teknik Bandung (1945–1946),#Sekolah_Tinggi_Teknik_Bandung_(1945–1946)
li,"1.5Technische Faculteit, Nood-Universiteit van Nederlandsch Indie(1946–1947)","#Technische_Faculteit,_Nood-Universiteit_van_Nederlandsch_Indie_(1946–1947)"
li,1.6Faculteit van Technische WetenschapdanFaculteit der Exacte Wetenschap Universiteit van Indonesie te Bandoeng(1947–1950),#Faculteit_van_Technische_Wetenschap_dan_Faculteit_der_Exacte_Wetenschap_Universiteit_van_Indonesie_te_Bandoeng_(1947–1950)
li,1.7Fakultas Teknik dan Fakultas Ilmu Pasti dan Ilmu Alam Universitas Indonesia Bandung (1950–1959),#Fakultas_Teknik_dan_Fakultas_Ilmu_Pasti_dan_Ilmu_Alam_Universitas_Indonesia_Bandung_(1950–1959)
li,1.8Institut Teknologi Bandung (1959–sekarang),#Institut_Teknologi_Bandung_(1959–sekarang)
li,2Pimpinan,#Pimpinan
li,3KampusGulingkan subbagian Kampus3.1ITB Kampus Ganesha3.2ITB Kampus Jatinangor3.3ITB Kampus Cirebon3.4ITB Kampus Jakarta,#Kampus #ITB_Kampus_Ganesha #ITB_Kampus_Jatinangor #ITB_Kampus_Cirebon #ITB_Kampus_Jakarta
li,3.1ITB Kampus Ganesha,#ITB_Kampus_Ganesha
li,3.2ITB Kampus Jatinangor,#ITB_Kampus_Jatinangor
li,3.3ITB Kampus Cirebon,#ITB_Kampus_Cirebon
li,3.4ITB Kampus Jakarta,#ITB_Kampus_Jakarta
li,4Fakultas dan sekolah,#Fakultas_dan_sekolah
li,"5AkreditasiGulingkan subbagian Akreditasi5.1Akreditasi Nasional5.1.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA)5.1.2Sekolah Ilmu dan Teknologi Hayati (SITH)5.1.3Sekolah Farmasi (SF)5.1.4Fakultas Ilmu dan Teknologi Kebumian (FITB)5.1.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM)5.1.6Sekolah Teknik Elektro dan Informatika (STEI)5.1.7Fakultas Teknologi Industri (FTI)5.1.8Fakultas Teknik Mesin dan Dirgantara (FTMD)5.1.9Fakultas Teknik Sipil dan Lingkungan (FTSL)5.1.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)5.1.11Fakultas Seni Rupa dan Desain (FSRD)5.1.12Sekolah Bisnis dan Manajemen (SBM)5.1.13Sekolah Pasca Sarjana (SPS)5.1.14Non Fakultas/Sekolah (NONFS)5.2Akreditasi Internasional5.2.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA)5.2.2Sekolah Ilmu dan Teknologi Hayati (SITH)5.2.3Sekolah Farmasi (SF)5.2.4Fakultas Ilmu dan Teknologi Kebumian (FITB)5.2.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM)5.2.6Sekolah Teknik Elektro dan Informatika (STEI)5.2.7Fakultas Teknologi Industri (FTI)5.2.8Fakultas Teknik Mesin dan Dirgantara (FTMD)5.2.9Fakultas Teknik Sipil dan Lingkungan (FTSL)5.2.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)5.2.11Sekolah Bisnis dan Manajemen (SBM)","#Akreditasi #Akreditasi_Nasional #Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA) #Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH) #Sekolah_Farmasi_(SF) #Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB) #Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM) #Sekolah_Teknik_Elektro_dan_Informatika_(STEI) #Fakultas_Teknologi_Industri_(FTI) #Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD) #Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL) #Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK) #Fakultas_Seni_Rupa_dan_Desain_(FSRD) #Sekolah_Bisnis_dan_Manajemen_(SBM) #Sekolah_Pasca_Sarjana_(SPS) #Non_Fakultas/Sekolah_(NONFS) #Akreditasi_Internasional #Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA)_2 #Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH)_2 #Sekolah_Farmasi_(SF)_2 #Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB)_2 #Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM)_2 #Sekolah_Teknik_Elektro_dan_Informatika_(STEI)_2 #Fakultas_Teknologi_Industri_(FTI)_2 #Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD)_2 #Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL)_2 #Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK)_2 #Sekolah_Bisnis_dan_Manajemen_(SBM)_2"
li,"5.1Akreditasi Nasional5.1.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA)5.1.2Sekolah Ilmu dan Teknologi Hayati (SITH)5.1.3Sekolah Farmasi (SF)5.1.4Fakultas Ilmu dan Teknologi Kebumian (FITB)5.1.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM)5.1.6Sekolah Teknik Elektro dan Informatika (STEI)5.1.7Fakultas Teknologi Industri (FTI)5.1.8Fakultas Teknik Mesin dan Dirgantara (FTMD)5.1.9Fakultas Teknik Sipil dan Lingkungan (FTSL)5.1.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)5.1.11Fakultas Seni Rupa dan Desain (FSRD)5.1.12Sekolah Bisnis dan Manajemen (SBM)5.1.13Sekolah Pasca Sarjana (SPS)5.1.14Non Fakultas/Sekolah (NONFS)","#Akreditasi_Nasional #Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA) #Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH) #Sekolah_Farmasi_(SF) #Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB) #Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM) #Sekolah_Teknik_Elektro_dan_Informatika_(STEI) #Fakultas_Teknologi_Industri_(FTI) #Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD) #Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL) #Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK) #Fakultas_Seni_Rupa_dan_Desain_(FSRD) #Sekolah_Bisnis_dan_Manajemen_(SBM) #Sekolah_Pasca_Sarjana_(SPS) #Non_Fakultas/Sekolah_(NONFS)"
li,5.1.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA),#Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA)
li,5.1.2Sekolah Ilmu dan Teknologi Hayati (SITH),#Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH)
li,5.1.3Sekolah Farmasi (SF),#Sekolah_Farmasi_(SF)
li,5.1.4Fakultas Ilmu dan Teknologi Kebumian (FITB),#Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB)
li,5.1.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM),#Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM)
li,5.1.6Sekolah Teknik Elektro dan Informatika (STEI),#Sekolah_Teknik_Elektro_dan_Informatika_(STEI)
li,5.1.7Fakultas Teknologi Industri (FTI),#Fakultas_Teknologi_Industri_(FTI)
li,5.1.8Fakultas Teknik Mesin dan Dirgantara (FTMD),#Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD)
li,5.1.9Fakultas Teknik Sipil dan Lingkungan (FTSL),#Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL)
