record_id,data_source,category,content,content_cleaned,content_length,quality_score,links,type,processed_date,original_index
1,multikampus,mahasiswa,PersonalStafMahasiswaMitraAlumniPengunjungPers,pers,46,60,https://itb.ac.id/staf https://itb.ac.id/mahasiswa https://itb.ac.id/mitra https://itb.ac.id/alumni https://itb.ac.id/pengunjung https://itb.ac.id/pers,li,2025-06-21,21
2,multikampus,sejarah,Tentang ITBSejarahVisi dan MisiTugas dan FungsiPimpinanLandasan HukumStruktur OrganisasiMajelis Wali AmanatSenat AkademikMultikampusKunjungan,itbs misi fung huku orga wali aman akad,141,100,https://itb.ac.id/tentang-itb https://itb.ac.id/sejarah https://itb.ac.id/visi-dan-misi https://itb.ac.id/tugas-dan-fungsi https://itb.ac.id/pimpinan https://itb.ac.id/landasan-hukum https://itb.ac.id/struktur-organisasi https://itb.ac.id/majelis-wali-amanat https://itb.ac.id/senat-akademik https://itb.ac.id/multikampus https://itb.ac.id/kunjungan,li,2025-06-21,29
3,multikampus,akademik,PenerimaanSarjanaPascasarjanaProfesiPertukaran MahasiswaKelas Internasional,pene maha inte,75,70,https://itb.ac.id/penerimaan https://itb.ac.id/sarjana https://itb.ac.id/pascasarjana https://itb.ac.id/profesi https://itb.ac.id/pertukaran-mahasiswa https://itb.ac.id/kelas-internasional,li,2025-06-21,41
4,multikampus,akademik,PendidikanFakultas dan SekolahProgram StudiKelompok Keahlian/KeilmuanBeasiswaStaf,pend seko stud keah,81,70,https://itb.ac.id/pendidikan https://itb.ac.id/fakultas-dan-sekolah https://itb.ac.id/program-studi https://itb.ac.id/kelompok-keahliankeilmuan https://itb.ac.id/beasiswa /staff/,li,2025-06-21,48
5,multikampus,fasilitas,KampusAktivitas MahasiswaJelajah,kamp maha,32,60,kehidupan-kampus https://itb.ac.id/aktivitas-mahasiswa https://itb.ac.id/jelajah,li,2025-06-21,55
6,multikampus,mahasiswa,AlumniProgramProfilDonasi,alum,25,60,/alumni https://itb.ac.id/program-alumni https://itb.ac.id/profil-alumni https://itb.ac.id/donasi,li,2025-06-21,59
7,multikampus,sejarah,"Institut Teknologi Bandung (ITB) sebagai Perguruan Tinggi Negeri Berbadan Hukum (PTN-BH) Indonesia, berkomitmen untuk aktif mengembangkan ilmu pengetahuan, teknologi, dan seni. ITB menetapkan Rencana Induk Pengembangan (RENIP) 2006-2025 sebagai landasan pengembangan institusi jangka panjang. Dokumen RENIP kemudian diturunkan ke dalam rencana lima tahunan yang disebut Rencana Strategis (RENSTRA) ITB",inst tekn band itb perg ting nege berb huku ptnb indo berk akti meng ilmu peng tekn seni itb mene renc indu peng reni 2006 land peng inst jang panj doku reni kemu ditu renc lima tahu dise renc stra rens itb,401,80,,p,2025-06-21,73
8,multikampus,sejarah,"Kebijakan pengembangan institusi merupakan bagian dari Strategi Jangka Panjang ITB untuk mencapai visi sesuai RENIP. Kebijakan pengembangan tersebut, juga merupakan elemen dari misi untuk mewujudkan ITB sebagai lembaga penelitian teknologi dan institusi pendidikan terkemuka di Indonesia, dan di kawasan Asia Pasifik, menuju ITBWorld Class University(WCU). Tujuan utama pengembangan multikampus adalah meningkatkan peran ITB dalam membangun riset yang unggul di masa depan, berkontribusi dalam mengembangkan sumber daya manusia yang berkualitas (teknologi) dengan skala regional maupun nasional.",kebi peng inst meru bagi stra jang panj itb menc visi sesu reni kebi peng ters meru elem misi mewu itb lemb pene tekn inst pend terk indo kawa asia pasi menu itbw clas univ tuju utam peng mult meni pera itb memb rise ungg masa depa berk meng sumb daya manu berk tekn skal regi maup nasi,595,80,,p,2025-06-21,74
9,multikampus,fasilitas,"Selaras dengan hal tersebut, ITB merencanakan pengembangan untuk beberapa kampus, yaitu ITB Kampus Ganesha, ITB Kampus Jatinangor, dan ITB Kampus Cirebon, yang sampai dengan saat ini masih terus berjalan.",sela hal ters itb mere peng bebe kamp yait itb kamp gane itb kamp jati itb kamp cire saat teru berj,204,80,,p,2025-06-21,75
10,multikampus,sejarah,"Kampus Ganesha merupakan kampus utama Institut Teknologi Bandung. Berlokasi di Jl. Ganesa No. 10, Bandung, Jawa Barat, Indonesia dengan luas sekitar 28 hektar, kampus ini terus mengalami perluasan dan penambahan fasilitas.. Kampus ITB Ganesha didirikan pada tahun 1920 dengan nama Technische Hoogeschool. Di sekitar Kampus ITB Ganesha, terdapat fasilitas penunjang perkuliahan seperti aula, sarana olah raga berupa running track, lapangan sepak bola, kolam renang, layanan kesehatan, masjid, serta asrama mahasiswa.",kamp gane meru kamp utam inst tekn band berl jl gane no 10 band jawa bara indo luas seki 28 hekt kamp teru meng perl pena fasi kamp itb gane didi tahu 1920 nama tech hoog seki kamp itb gane terd fasi penu perk sepe aula sara olah raga beru runn trac lapa sepa bola kola rena laya kese masj sert asra maha,515,80,,p,2025-06-21,79
